budget.level,supplementary,flow,fin.year,budget.category,flow.type,budget.entry,value
Union,FALSE,income,2012,Ministries and Departments,Taxes,Commercial tax,501527.857
Union,FALSE,income,2012,Ministries and Departments,Taxes,Licence fees on imported goods,750
Union,FALSE,income,2012,Ministries and Departments,Taxes,State Lottery,17062.426
Union,FALSE,income,2012,Ministries and Departments,Taxes,Taxes on Transport,2240
Union,FALSE,income,2012,Ministries and Departments,Taxes,Sales proceeds of stamps,17393.224
Union,FALSE,income,2012,Ministries and Departments,Taxes,Income-Tax,489016.493
Union,FALSE,income,2012,Ministries and Departments,Taxes,Customs duties,35000
Union,FALSE,income,2012,Ministries and Departments,Taxes,Water Tax and Embankment Tax,700
Union,FALSE,income,2012,Ministries and Departments,Taxes,Tax on extraction of forest produces,1450
Union,FALSE,income,2012,Ministries and Departments,Taxes,Tax on Fisheries,720
Union,FALSE,income,2012,Ministries and Departments,Taxes,Tax levied on rubber ,0.5
Union,FALSE,income,2012,Total,Taxes,TOTAL M&D REVENUES,1065860.5
Union,FALSE,income,2012,CDC,Taxes,Nay Pyi Taw Development Committee,266.8274
Union,FALSE,income,2012,Total,Taxes,TOTAL CDC REVENUES,266.8274
Union,FALSE,income,2012,Grand Total,Taxes,TOTAL REVENUES ACROSS ALL CATEGORIES,1066127.327
Union,FALSE,income,2013,Ministries and Departments,Taxes,Excise Tax,229.8
Union,FALSE,income,2013,Ministries and Departments,Taxes,Commercial tax,800299.133
Union,FALSE,income,2013,Ministries and Departments,Taxes,Licence fees on imported goods,770
Union,FALSE,income,2013,Ministries and Departments,Taxes,State Lottery,20348.045
Union,FALSE,income,2013,Ministries and Departments,Taxes,Taxes on Transport,16304
Union,FALSE,income,2013,Ministries and Departments,Taxes,Sales proceeds of stamps,31400
Union,FALSE,income,2013,Ministries and Departments,Taxes,Income-Tax,684872.382
Union,FALSE,income,2013,Ministries and Departments,Taxes,Customs duties,85000
Union,FALSE,income,2013,Ministries and Departments,Taxes,Taxes on land(Land Revenue),0.842
Union,FALSE,income,2013,Ministries and Departments,Taxes,Water Tax and Embankment Tax,2600.727
Union,FALSE,income,2013,Ministries and Departments,Taxes,Tax on extraction of forest produces,1721.648
Union,FALSE,income,2013,Ministries and Departments,Taxes,Tax on extraction of mineral,4.225
Union,FALSE,income,2013,Ministries and Departments,Taxes,Tax on Fisheries,723
Union,FALSE,income,2013,Ministries and Departments,Taxes,Tax levied on rubber ,0.5
Union,FALSE,income,2013,Total,Taxes,TOTAL M&D REVENUES,1644274.302
Union,FALSE,income,2013,Total,Taxes,TOTAL UG REVENUES,0
Union,FALSE,income,2013,Total,Taxes,TOTAL SOE REVENUES,0
Union,FALSE,income,2013,CDC,Taxes,Nay Pyi Taw Development Committee,330.531
Union,FALSE,income,2013,Total,Taxes,TOTAL CDC REVENUES,330.531
Union,FALSE,income,2013,Grand Total,Taxes,TOTAL REVENUES ACROSS ALL CATEGORIES,1644604.833
